"Node","rank","academic.birth","all.publications","var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up"
20825,1785,2012,74,141.583333333333,220.5,8.22222222222222,9.44444444444444,0,0,0,0.455255896022175,1.55018351068279,0,0,24.5,420.5,18,840.5
57339,1786,2010,72,97.5,40.5,6.54545454545455,12.3636363636364,128,200,480.5,0.154807617229929,0,242,0.5,7.7,18,27,16.3333333333333
492780,1787,2015,159,3486.33333333333,0,26.5,36.5,0,0,0,0.297149067376748,2.37521437800236,0,0,60.5,0,1624.5,312.5
46223,1788,2010,85,358.3,760.5,7.72727272727273,5.81818181818182,840.5,0.5,0,0.349415722955839,0,0,0,72.3333333333333,450,0,1404.5
33116,1789,2010,67,1355.5,3528,6.09090909090909,8.18181818181818,2112.5,8,0,0.620130498601897,0,0,0,52.3333333333333,0,0,4140.5
97345,1790,2011,60,219.7,72,6,8.6,684.5,288,18,0.221188750734021,0,50,18,4,12.5,2.33333333333333,60.5
33862,1791,2010,71,805.7,2312,6.45454545454545,7.36363636363636,2178,84.5,0,0.383713933960795,0,0,0,104.333333333333,0,0,3280.5
149905,1792,2012,87,142.25,312.5,9.66666666666667,8,0,0,0,0.358631227361778,0.120341960833281,24.5,0,32.3333333333333,72,44.3333333333333,56.3333333333333
80475,1793,2010,76,130.3,392,6.90909090909091,5.54545454545455,220.5,144.5,0,0.470116574124018,0,0,32,16.6666666666667,180.5,2,684.5
181717,1794,2010,56,84,4.5,5.09090909090909,7.09090909090909,112.5,312.5,312.5,0.290719203471005,0,364.5,128,11.3,24.5,9,180.5
15899,1795,2010,66,94,72,6,8.54545454545454,338,338,18,0.220024653190885,0,72,60.5,2.91666666666667,18,17.3333333333333,97
1862626,1796,2011,52,90.8,392,5.2,4.8,162,338,0,0.476291504492148,0.862384606830197,0,0,50,0,420.5,180.5
44281,1797,2011,61,52.5,112.5,6.1,4.9,264.5,112.5,24.5,0.316193221196156,0,0.5,32,30,72,32,12.5
164121,1798,2010,51,43.3,98,4.63636363636364,7.54545454545455,84.5,8,242,0.486858574583311,0,112.5,162,2.33333333333333,60.5,40.5,98
33782,1799,2010,77,114.5,72,7,14.9090909090909,8,4.5,3120.5,0.268504578077061,0,1404.5,0,16.3333333333333,0,72,288
32092,1800,2010,67,2306.3,7080.5,6.09090909090909,10.9090909090909,5000,24.5,0,0.0969029701056943,0,0,0,24.5,180.5,0,11858
490671,1801,2012,87,12.6666666666667,50,9.66666666666667,7.11111111111111,0,0,0,0.719297054725852,1.00810751437647,180.5,0,63,18,93,69.3333333333333
55168,1802,2010,60,133.8,144.5,5.45454545454545,7,364.5,144.5,4.5,0.292128157533633,0,24.5,0,8.91666666666667,18,84.5,280.333333333333
9162,1803,2010,57,312,392,5.18181818181818,13,50,84.5,1012.5,0.444130020352233,0,0,12.5,19,0,21.3333333333333,40.5
36843,1804,2014,117,1299,0,16.7142857142857,25.4285714285714,0,0,0,0.234359843416097,2.89911017228262,0,0,177.333333333333,0,180.5,1458
475301,1805,2010,79,26.8,2,7.18181818181818,11.5454545454545,12.5,200,1300.5,0.397008490385375,0,0,8,18.6666666666667,112.5,4.5,578
986,1806,2010,64,108.7,2,5.81818181818182,8.90909090909091,312.5,264.5,2,0.259223437151911,0,180.5,40.5,21.3,24.5,6.33333333333333,40.5
9588,1807,2010,99,94.7,50,9,12.3636363636364,312.5,18,0,0.705633376523377,0.22347476875802,0,0,36.3333333333333,338,2,0
22708,1808,2010,102,77.3,242,9.27272727272727,14,24.5,32,0,0.144382139148316,0,364.5,0,166.333333333333,648,12.5,8
57001,1809,2010,194,398.2,480.5,17.6363636363636,10.2727272727273,882,0.5,0,0.344571339762127,0,0,0,409,0,924.5,0
301657,1810,2010,97,96.2,544.5,8.81818181818182,3.45454545454545,338,32,0,0.41777132944318,1.40981009875546,0,338,20.25,0,180.5,0
120777,1811,2010,66,9.7,4.5,6,6.81818181818182,4.5,2,0,0.647699824797996,1.59060088169922,338,364.5,19,0,66.3333333333333,288
121379,1812,2010,86,37.3,32,7.81818181818182,8.45454545454546,264.5,144.5,40.5,0.285985453192001,0,220.5,18,8.33333333333333,0.5,48,18
23421,1813,2011,55,44.2,40.5,5.5,9.6,242,420.5,312.5,0.172170532648821,0,392,128,3.8,32,4.33333333333333,144.5
181199,1814,2010,75,74.5,8,6.81818181818182,5,18,392,180.5,0.488997129682269,0,72,84.5,11.2,0.5,16.3333333333333,65.3333333333333
181161,1815,2010,72,466.8,684.5,6.54545454545455,7.54545454545455,18,242,0,0.399055427642446,0,0,0.5,9.33333333333333,50,32,612.5
81535,1816,2010,63,87.5,50,5.72727272727273,6.63636363636364,0.5,40.5,1058,0.588206547429083,0.492130396181333,0,60.5,2.25,2,9,512
128714,1817,2010,51,0,0,4.63636363636364,5.90909090909091,1200.5,392,722,0.182803966169911,0.0043657692244734,0,264.5,258.333333333333,8,4.33333333333333,243
307219,1818,2010,63,83.8,0,5.72727272727273,6.54545454545455,162,264.5,98,0.431685167059852,0,338,18,14.25,18,20.3333333333333,32
83484,1819,2010,69,64.7,144.5,6.27272727272727,5.72727272727273,84.5,0.5,0,0.676912800646061,0.345972914549252,0,0,24.3333333333333,242,72,684.5
687218,1820,2012,59,196.666666666667,392,6.55555555555556,6.77777777777778,0,0,0,0.265551146946749,0,98,0,127,338,386.333333333333,220.5
60073,1821,2010,101,37.7,84.5,9.18181818181818,8.54545454545454,264.5,2,0,0.307312439934212,0,0,882,41.6666666666667,480.5,288,0
336695,1822,2010,71,24.8,84.5,7.1,10.2,242,12.5,0,0.316506365777471,0,0,0,72,480.5,288,760.5
169865,1823,2011,78,70.7,24.5,7.8,9.1,98,242,480.5,0.253329741722688,0,0,18,7.58333333333333,162,32,200
2681,1824,2010,70,105.3,72,6.36363636363636,3.45454545454545,162,72,0,0.622174483579179,1.85970763457662,0,112.5,0,18,54.3333333333333,450
140873,1825,2010,75,45.3,18,6.81818181818182,6.45454545454545,98,312.5,162,0.498081354860612,0,200,2,9.58333333333333,4.5,16.3333333333333,12.5
46526,1826,2010,72,77.5,12.5,6.54545454545455,10.9090909090909,84.5,32,0,0.567946483603122,0,0,264.5,7,144.5,52,1012.5
119296,1827,2010,72,204.8,312.5,6.54545454545455,6.27272727272727,112.5,60.5,0,0.38236945042237,0,0,112.5,10.8,72,56.3333333333333,760.5
60953,1828,2010,111,195.3,220.5,10.0909090909091,6.18181818181818,180.5,2,0,0.30289268349765,0.549150244417375,0,0,32.3333333333333,684.5,144.5,0
544829,1829,2014,76,937.333333333333,0,10.8571428571429,12.2857142857143,0,0,0,0.380098795386202,0.643410642713718,0,0,93,0,760.5,840.5
85644,1830,2010,64,62.3,364.5,5.81818181818182,6.54545454545455,288,50,2,0.151990958272397,0,128,112.5,16.3333333333333,40.5,9,162
