"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
4087,3816,3298,3169,3310,2391,4225,4160,4225,749,4225,2194,4225,1104,1799,"2105"
412,387,212,863,380,988,4225,1324,1229,4225,4225,15,4225,36,4225,"2106"
4114,4225,4017,3460,3398,4225,4225,2467,4225,663,733,3637,1058,2689,1727,"2107"
3710,3430,2483,3331,2284,1407,1454,3861,4225,1044,2469,3379,2666,3145,2454,"2108"
1636,622,2260,1689,4225,4225,4225,1984,4225,383,4225,3211,2952,2689,1799,"2109"
3499,2931,924,1401,3310,3017,4225,3839,4225,383,243,1043,277,473,1295,"2110"
2314,2395,541,604,1836,343,421,1263,491,432,1579,2394,2820,2083,1230,"2111"
3183,3816,3724,3410,2979,1737,1043,3054,4225,874,2310,2488,2666,2910,2260,"2112"
864,809,1843,781,581,1481,1182,3940,4225,995,1908,2406,2536,1974,1163,"2113"
263,4225,2545,729,132,406,50,3685,4225,4225,410,2871,874,1287,675,"2114"
1919,3195,1097,729,2471,2256,167,3919,4225,4225,631,1933,1806,3481,614,"2115"
3420,2931,4017,2758,2896,2873,772,2688,4225,4225,1426,3003,1471,3145,2477,"2116"
2930,1675,1436,1340,3057,2391,4225,614,804,4225,4225,1814,4225,4225,4225,"2117"
4144,3816,4109,3124,4225,2391,693,4090,4225,4225,2153,3670,1702,3145,2454,"2118"
3812,4225,4225,4085,3057,988,1288,2781,4225,4225,1291,2314,1806,3679,2498,"2119"
2511,2266,2483,1793,3310,2256,330,2212,4225,4225,1356,3109,962,1984,1579,"2120"
3387,2075,3927,3509,2896,1642,4225,76,689,4225,2564,3848,2820,3047,2042,"2121"
907,1979,4017,744,581,2256,1221,3372,4225,1099,1828,3973,2820,2935,2042,"2122"
2854,2931,3724,3196,4225,2141,552,149,1236,4225,1828,2736,2173,2322,2042,"2123"
3979,3546,4109,2450,3231,3454,661,4136,4225,577,924,2314,962,1433,1640,"2124"
3441,2075,3819,2583,2724,1267,860,179,1078,1548,2153,4099,2666,3238,2667,"2125"
2514,1454,3819,3509,1456,2141,4225,855,4225,4225,4225,4159,4225,779,4225,"2126"
3537,3663,3819,3460,2979,2141,1091,3327,4225,4225,2310,3754,1702,3663,2979,"2127"
3454,1812,2855,3548,2560,2033,4225,94,605,4225,2069,3132,1471,2120,1727,"2128"
636,956,847,1015,257,181,212,3751,4225,549,322,643,357,1491,1986,"2129"
1739,809,2545,718,300,1120,297,3626,4225,708,2310,2893,2419,3518,1799,"2130"
548,425,2412,1449,4225,4225,4225,4013,1187,324,4225,1277,231,606,4225,"2131"
655,4225,380,156,4225,4225,4225,2603,354,4225,4225,1390,4225,423,1114,"2132"
1685,1337,3927,1285,4225,1191,190,4212,4225,4225,1828,2779,2173,3663,1014,"2133"
1839,2931,944,1956,4225,494,238,1592,4225,4225,1828,4099,2173,2312,966,"2134"
2109,4225,3400,2849,1070,728,860,1343,4225,4225,1067,883,653,2542,1295,"2135"
3462,4225,1201,952,4225,4225,4225,3718,4225,4225,4225,1891,4225,3663,1873,"2136"
1058,4225,3819,3908,1409,1737,4225,3824,4225,4225,2469,2779,2301,1984,1995,"2137"
452,257,1957,1956,495,1926,4225,3981,4225,4225,4225,1814,4225,473,4225,"2138"
3390,1812,3537,3169,1568,1191,1288,2588,1227,1270,2069,1933,1058,2713,2860,"2139"
1086,4225,4017,2037,4225,653,4225,4033,4225,4225,733,1622,2536,531,2754,"2140"
1406,2705,789,1655,2123,343,831,603,208,4225,999,1363,1702,341,2754,"2141"
1640,3816,1462,1620,1245,868,1367,2487,4225,324,4225,3955,2301,1689,2572,"2142"
4066,3663,3142,3421,2638,4225,4225,3041,4225,4225,576,2527,584,2431,2234,"2143"
285,124,2319,1162,229,686,4225,3991,4225,4225,4225,377,4225,4225,4225,"2144"
2420,3430,2794,1793,3057,2033,4225,2814,4225,4225,1665,4073,962,3207,1059,"2145"
1925,1392,2483,1793,2123,3017,4225,3962,4225,4225,4225,3549,4225,4225,4225,"2146"
810,919,2483,3579,1070,3169,4225,1296,4225,4225,631,931,800,978,4225,"2147"
948,1037,2855,3663,1070,1642,4225,3857,4225,4225,2153,4133,2820,2431,4225,"2148"
2776,3317,2056,2800,2051,1926,1182,3415,4225,4225,1511,4030,2419,3257,2667,"2149"
2017,2705,1102,1689,4225,4225,4225,1387,885,383,4225,839,653,1777,4225,"2150"
1428,1124,1436,1373,4225,4225,4225,3707,4225,995,4225,398,187,214,695,"2151"
2903,2834,1436,2498,3057,3454,4225,2406,4225,4225,4225,1684,4225,1104,1114,"2152"
3649,2266,3640,2712,4225,2391,498,3163,4225,1501,1665,4178,1922,2563,2957,"2153"
1113,4225,1164,1546,4225,4225,4225,380,4225,4225,4225,4225,4225,4225,4225,"2154"
2136,4225,1768,3034,1120,215,1091,2909,4225,4225,192,1304,142,1116,1178,"2155"
725,326,189,138,333,122,1043,3176,4225,1611,999,1610,2536,2997,2056,"2156"
2736,1517,1524,3024,4225,4225,4225,2546,4225,822,4225,1991,1806,2322,2061,"2157"
4174,4225,431,2726,4225,4225,4225,1093,71,4225,4225,373,4225,2689,3145,"2158"
3765,4225,3819,3296,2638,3323,4225,2973,4225,577,4225,1745,4225,978,1727,"2159"
2993,3816,1524,1373,4225,4225,4225,672,1177,4225,4225,2008,721,1131,1505,"2160"
1825,2490,2618,1162,774,521,772,3498,4225,1396,733,2857,2666,1598,1727,"2161"
3155,3430,3400,1446,1633,1737,1005,4101,4225,324,2381,3955,4225,3238,1727,"2162"
584,956,279,1317,1356,2749,4225,1670,97,4225,4225,463,63,193,258,"2163"
2984,4225,4225,3850,4225,868,4225,1482,4225,4225,999,2387,2952,1433,2760,"2164"
3606,3055,2545,3331,2724,1267,927,1968,4225,822,2469,3058,2536,3679,2137,"2165"
3765,3195,2483,1834,3398,1737,4225,2316,4225,4225,2153,2897,1058,2593,1640,"2166"
2625,2931,1665,2599,1409,1120,1598,2923,1169,822,2381,2830,962,2563,2572,"2167"
628,587,4225,2283,581,1737,4225,1956,4225,4225,4225,755,4225,4225,4225,"2168"
3009,3430,2855,1620,1836,2501,889,3225,4225,432,1219,2736,721,2226,2572,"2169"
353,809,3129,1130,1699,1191,4225,2309,4225,4225,2240,3081,1171,2750,311,"2170"
1888,1588,1032,447,774,1572,964,2187,4225,606,1067,4178,2536,3663,2672,"2171"
2563,2931,3613,1589,3057,3169,385,4131,4225,4225,999,2591,4225,2211,1365,"2172"
447,1588,944,674,182,279,92,2394,172,995,537,480,2046,1801,2145,"2173"
1152,2931,187,413,559,279,1413,833,808,198,1665,2527,1702,3207,1119,"2174"
3049,2931,1823,3702,3057,2256,4225,3102,4225,4225,1139,860,721,2431,1640,"2175"
1496,1517,3613,970,4225,1120,134,4040,4225,1270,1985,3465,2952,2795,2667,"2176"
1190,483,870,974,4225,4225,4225,1842,4225,383,4225,2452,2952,1135,1114,"2177"
537,223,1436,644,4225,4225,4225,1305,4225,128,4225,1933,477,2431,3224,"2178"
3565,4225,1778,765,4225,4225,4225,4105,4225,4225,4225,373,4225,4225,4225,"2179"
1731,2075,1136,831,4225,4225,4225,1566,501,484,4225,1217,2820,3791,1365,"2180"
732,1077,2794,1321,4225,4225,4225,3895,4225,1396,4225,3379,1058,2010,1302,"2181"
1533,4225,1105,923,4225,4225,4225,3766,4225,4225,4225,4099,4225,2431,3145,"2182"
963,1517,78,69,249,93,860,803,388,86,2153,1027,434,491,885,"2183"
3127,1812,1158,2671,2560,2501,1043,2711,4225,1548,468,2527,962,1104,2148,"2184"
3299,2705,1888,2701,2374,494,1253,3131,4225,1501,856,1949,2419,2824,2461,"2185"
3026,1740,2319,2549,1356,2391,1559,2337,4225,1677,999,3848,2666,3341,2454,"2186"
321,97,665,398,4225,4225,4225,2037,4225,44,4225,572,2820,236,258,"2187"
1374,554,971,475,4225,4225,4225,1628,737,1153,4225,1273,653,1499,1802,"2188"
1478,2395,1753,2498,2560,686,4225,395,849,4225,1828,3973,2666,1882,614,"2189"
92,63,3613,1426,177,3323,4225,852,4225,4225,4225,911,4225,873,39,"2190"
327,373,996,1237,1301,4225,4225,2254,4225,4225,154,1570,4225,323,240,"2191"
3512,2266,3927,3663,1982,2873,4225,2944,4225,4225,1139,1641,962,978,1059,"2192"
783,1124,899,402,2804,1338,48,439,1152,4225,1219,3912,653,1143,4225,"2193"
3436,2705,3400,1879,2804,2749,693,1987,4225,1099,1291,3717,1058,2985,2279,"2194"
1628,3317,816,604,1070,406,726,1728,4225,183,1426,1420,2301,1786,2061,"2195"
347,270,2138,3850,495,1572,4225,1962,4225,4225,4225,176,4225,172,160,"2196"
1587,1337,2138,689,915,542,1650,4098,4225,1548,924,2835,1922,2312,1166,"2197"
1445,1517,2545,3813,1982,1120,4225,3382,4225,4225,2381,4073,1922,2242,733,"2198"
1686,554,3514,634,1514,3454,4225,2088,4225,4225,4225,1460,1372,1280,4225,"2199"
567,243,257,179,439,108,1135,2589,34,324,440,325,277,113,1065,"2200"
2123,3546,2855,2283,1456,2033,1504,2231,4225,937,1746,1976,962,3663,3059,"2201"
2899,3430,2949,3460,2051,1642,1504,3494,4225,4225,2469,2614,2666,2910,2754,"2202"
995,2705,452,329,4225,4225,4225,1071,4225,172,4225,3688,2419,3697,1059,"2203"
3156,1675,1472,3373,4225,4225,4225,2323,4225,1153,4225,1468,308,1777,3224,"2204"
2014,4225,602,594,4225,4225,4225,977,225,4225,4225,411,4225,193,4225,"2205"
2365,2395,556,285,1982,406,421,886,356,549,1908,1649,2301,875,1526,"2206"
1910,1392,3419,1695,581,1926,498,2070,4225,1044,2069,3379,2820,2503,1818,"2207"
3063,2594,4225,3169,2724,3017,4225,2468,4225,4225,1356,2684,4225,2542,4225,"2208"
3468,3816,3514,2758,3057,3323,598,1621,4225,4225,790,2452,1594,1860,1286,"2209"
795,4225,565,279,4225,4225,4225,2792,4225,4225,4225,273,4225,4225,4225,"2210"
259,2834,132,189,177,90,404,1293,367,339,350,182,584,292,552,"2211"
1772,1271,1838,1448,4225,4225,4225,1085,267,1501,4225,1684,962,2083,1579,"2212"
958,459,2018,880,274,521,297,3671,4225,324,1139,1005,2173,2732,1297,"2213"
900,2266,25,306,2051,44,92,1318,360,4225,2240,89,44,3145,1873,"2214"
3800,3430,3613,4131,3149,2033,4225,2810,4225,4225,1985,2170,4225,2689,2348,"2215"
3695,4225,3216,3964,2804,1044,1504,1061,4225,1209,1746,833,2419,3803,2667,"2216"
33,33,658,1051,46,3323,4225,2026,4225,4225,135,1530,166,211,4225,"2217"
2363,1517,2080,549,4225,4225,4225,3818,4225,408,4225,3161,2173,1974,2667,"2218"
1081,2931,2062,1091,1356,868,964,3762,4225,577,2153,2420,2952,2312,1523,"2219"
1539,3430,816,352,3310,614,95,3741,4225,4225,2381,448,1275,3550,342,"2220"
3765,2266,3927,2934,4225,2256,525,2464,4225,1447,1985,3717,2046,3238,2754,"2221"
1572,709,837,524,495,380,1221,1727,4225,1099,1426,1443,874,3207,1593,"2222"
1031,777,4017,2849,848,3454,4225,2188,4225,4225,4225,3003,874,2689,320,"2223"
2804,3195,1509,3579,1633,1044,1182,1010,68,1611,2310,3670,2536,1170,2454,"2224"
1193,1124,1823,1879,2979,3169,4225,2099,4225,4225,4225,534,4225,236,733,"2225"
2557,1812,3819,3964,1699,3169,4225,3310,4225,4225,1067,2375,1594,3145,4225,"2226"
3782,3055,2701,2583,2201,2873,4225,1233,4225,4225,1067,639,4225,1280,4225,"2227"
3301,3816,4109,1680,3310,2873,272,2608,4225,198,4225,2713,1058,1280,792,"2228"
3907,2705,965,2498,4225,2749,421,930,4225,4225,4225,931,254,236,1727,"2229"
2618,1740,3129,1237,2979,2033,343,3739,4225,4225,1908,2906,1471,1777,1365,"2230"
2718,3430,3514,2229,3149,3454,4225,3939,4225,4225,681,1814,1275,1433,1230,"2231"
2250,1588,1957,863,1013,2033,1367,3416,4225,1270,1219,3637,2301,3341,2504,"2232"
799,777,1565,880,266,774,272,4115,4225,515,2240,1947,2952,3270,2368,"2233"
2417,1337,582,890,848,2391,4225,1074,205,4225,220,1355,392,3791,926,"2234"
2570,3055,2959,1839,1514,1481,1325,1551,4225,663,2469,2684,1806,2001,2957,"2235"
710,231,1076,568,4225,4225,4225,1619,4225,107,4225,1662,2666,1786,1807,"2236"
4083,3663,1524,2240,4225,4225,4225,3164,4225,4225,4225,315,4225,4225,1163,"2237"
1764,2834,1768,1199,2374,494,363,3966,4225,515,1139,2164,2419,2062,1241,"2238"
3663,4225,4225,3548,2638,1267,1367,3844,4225,937,1908,2330,2666,2503,2137,"2239"
1288,809,4017,3879,978,3169,4225,2768,4225,4225,999,1814,4225,1280,466,"2240"
3390,2075,2949,2976,3231,1120,693,2613,4225,1501,2153,2452,1702,1777,2572,"2241"
673,646,4225,3331,1764,2256,4225,4073,4225,4225,2240,3773,2536,3697,311,"2242"
1194,1675,2250,2283,2374,1842,4225,3438,4225,4225,1746,1745,2046,2027,1114,"2243"
2044,4225,390,997,4225,4225,4225,2207,4225,4225,4225,145,4225,4225,4225,"2244"
2702,2594,3640,3668,1409,448,964,1840,200,1611,410,1063,1922,2226,1445,"2245"
882,334,2869,624,147,1120,104,2609,4225,183,2240,1641,1058,2287,1899,"2246"
1184,4225,1957,1767,4225,316,4225,2583,4225,4225,375,3549,1594,1104,2957,"2247"
3260,2931,4225,3702,3149,1120,1182,1030,4225,1677,1511,2341,4225,3047,2683,"2248"
2405,1675,1529,1851,4225,4225,4225,2225,4225,1340,4225,3717,2952,2689,4225,"2249"
2861,4225,2794,3964,2051,584,1454,3996,4225,4225,999,3549,2173,3364,1973,"2250"
3499,4225,2855,4015,4225,1267,4225,4133,4225,4225,2240,1948,1372,3145,3224,"2251"
1581,956,2207,2806,978,406,726,1541,4225,456,576,1823,584,1860,1439,"2252"
3079,2395,3927,1834,2638,2620,4225,1049,4225,4225,1746,3109,4225,3791,1365,"2253"
2094,1884,429,624,2123,1481,174,1847,4225,215,322,654,330,1104,834,"2254"
2673,1124,1554,3076,1456,1642,4225,1810,4225,4225,4225,1390,4225,423,1059,"2255"
3849,3663,2391,1150,4225,4225,4225,1994,4225,215,4225,3890,526,1343,1961,"2256"
1768,3430,483,729,1908,1572,4225,3019,4225,4225,4225,1043,115,3663,383,"2257"
1232,2395,2631,1426,4225,4225,4225,4035,4225,708,4225,736,2820,2689,1505,"2258"
3459,3546,2545,3076,2201,1120,1504,2073,4225,1044,2310,3671,2820,3270,2485,"2259"
1642,622,1324,628,4225,4225,4225,4066,4225,1099,4225,2779,1594,3663,2572,"2260"
1943,2075,1516,897,716,467,1559,2980,216,791,1219,1160,2419,3403,1727,"2261"
822,514,128,233,249,68,498,1390,329,640,170,810,800,1125,797,"2262"
3329,1979,1227,2671,3398,923,4225,281,806,4225,2310,1164,477,2689,834,"2263"
3212,2075,2483,2800,1633,774,1559,3338,4225,1611,1426,2159,1471,2287,2348,"2264"
2480,3546,4225,2330,1198,2391,1091,1458,4225,937,1985,4021,2419,3145,3071,"2265"
1843,1812,3400,2070,2896,2391,4225,1410,4225,4225,1665,3802,962,2910,1579,"2266"
935,1221,4225,1767,946,3169,4225,3911,4225,4225,4225,3211,4225,1598,342,"2267"
2759,3546,3129,1793,1699,774,4225,3569,4225,4225,1219,1573,2046,1598,2348,"2268"
3774,3430,355,375,2804,430,95,1096,4225,4225,2069,1420,2046,2713,466,"2269"
2673,3816,887,2619,2804,1267,4225,1793,4225,4225,4225,203,4225,172,4225,"2270"
2299,1979,2794,1890,4225,4225,4225,2815,4225,1447,4225,2857,1171,3257,1873,"2271"
586,2834,944,506,1013,235,1135,2312,52,4225,322,939,1806,999,2042,"2272"
2912,2931,1608,1106,3310,1572,167,4163,4225,4225,1746,3081,4225,3341,926,"2273"
2328,2075,3037,1655,816,653,801,3169,4225,4225,1067,2748,2046,2935,2050,"2274"
769,4225,709,475,4225,4225,4225,4096,4225,4225,4225,2375,4225,1598,3145,"2275"
1743,2705,2559,2196,4225,4225,4225,1957,4225,937,4225,2375,1594,3389,1873,"2276"
816,1337,2949,756,257,1642,363,2823,4225,1611,2381,3211,2419,3183,733,"2277"
3420,2490,2018,3637,3149,820,4225,3566,4225,4225,1985,2893,1806,3803,2348,"2278"
3104,1454,2949,1879,1356,2391,1559,2565,4225,1340,1426,3568,2046,2526,3231,"2279"
64,37,2250,2411,64,1481,4225,3654,4225,4225,4225,826,4225,4225,4225,"2280"
4123,3546,1462,3331,2979,1481,4225,1498,4225,874,2153,3568,721,3791,2957,"2281"
1073,956,2138,2037,1456,2391,4225,2086,4225,4225,1067,2684,1058,1689,342,"2282"
796,270,1076,594,4225,4225,4225,2655,4225,183,4225,2748,2536,1667,2239,"2283"
1384,1392,2319,2549,2201,2141,4225,1690,4225,4225,1426,3164,1594,1835,614,"2284"
1107,809,779,1324,280,71,197,2184,94,432,49,382,330,117,1371,"2285"
1511,1037,1823,808,309,653,458,2332,4225,1447,1579,1842,962,2795,2089,"2286"
1518,4225,1554,2196,4225,430,4225,3106,4225,4225,500,1193,2952,473,1961,"2287"
1335,1740,3537,205,1764,1481,4225,245,1113,4225,4225,4056,4225,4225,733,"2288"
3520,2834,3927,3908,4225,2620,4225,2126,4225,4225,1511,1437,4225,3791,1799,"2289"
2317,2931,2319,2976,3057,1642,4225,682,776,4225,2310,1493,2046,3791,1873,"2290"
1569,3317,2332,1660,1568,1572,1325,2528,4225,4225,2069,4056,1171,2795,2847,"2291"
3990,3546,2794,2283,3231,3323,4225,247,580,484,631,2452,4225,1633,1230,"2292"
2084,1884,2018,1479,1908,2873,4225,2932,4225,4225,924,2857,4225,1473,524,"2293"
1612,2266,2018,2111,2560,2391,4225,2570,4225,4225,1067,2340,2046,2027,4225,"2294"
3173,3195,3037,2155,3398,2501,330,2510,4225,4225,1291,3035,2046,2340,1505,"2295"
1607,1454,3724,2196,978,820,927,2662,4225,1099,1291,2835,1275,2340,977,"2296"
1206,777,1365,1059,4225,4225,4225,3904,4225,1044,4225,282,2173,978,4225,"2297"
1206,446,904,848,4225,4225,4225,3124,1063,408,4225,471,1171,873,764,"2298"
2614,1271,2494,816,4225,4225,4225,4224,4225,1501,4225,4073,2952,2503,2581,"2299"
2105,3195,374,970,3057,316,197,2993,4225,301,1985,450,800,3145,1059,"2300"
1259,745,2260,893,4225,4225,4225,4128,4225,995,4225,2684,1171,2910,3052,"2301"
3346,2931,1509,1589,1633,1572,1288,2889,4225,640,2153,3400,2952,2010,2754,"2302"
1644,2705,2319,1727,1456,406,1413,3075,4225,640,537,2488,653,2593,2348,"2303"
3575,2266,2267,2010,1982,3017,1182,1501,4225,1340,631,3303,1471,3663,2071,"2304"
1879,3317,1436,1834,1764,248,964,2616,4225,4225,282,2452,1594,881,2754,"2305"
117,80,263,2000,300,2620,4225,513,435,4225,64,238,4225,236,64,"2306"
236,4225,70,94,4225,4225,4225,2760,4225,4225,4225,145,4225,4225,4225,"2307"
2148,2705,417,718,4225,1842,87,1659,4225,143,243,541,93,236,614,"2308"
857,387,299,451,745,380,4225,1181,447,4225,4225,15,4225,12,160,"2309"
219,587,125,175,59,36,32,1898,126,408,59,275,204,789,359,"2310"
3289,2266,562,1956,1301,1338,1504,2371,4225,1340,537,839,2666,3791,2581,"2311"
2240,3055,3724,3509,1699,2256,4225,2362,4225,4225,4225,2830,4225,1598,4225,"2312"
2107,1979,1655,1340,816,653,927,3042,4225,1677,1356,3465,2046,3207,2774,"2313"
2075,1517,4225,1506,3231,2873,272,4141,4225,4225,1579,4159,1702,4225,1163,"2314"
812,1221,944,574,2201,1481,4225,2294,4225,4225,924,2058,2419,2010,186,"2315"
1118,425,1436,1059,4225,4225,4225,2576,4225,301,4225,2540,2536,1598,2667,"2316"
1723,2705,3400,2367,1070,1267,889,3975,4225,4225,2153,3698,2536,3207,2279,"2317"
618,194,562,604,173,235,134,1997,4225,69,924,2287,308,1894,936,"2318"
559,676,269,744,147,93,87,1148,145,355,322,1618,133,685,1651,"2319"
1099,2931,332,103,4225,4225,4225,3125,4225,25,4225,75,4225,4225,508,"2320"
4152,3055,2319,3017,3310,1191,927,544,4225,1340,2564,4085,2820,3389,3224,"2321"
1612,1740,673,1479,1198,820,4225,443,899,4225,1746,4016,1594,2261,4225,"2322"
2276,2395,2855,1150,3149,1737,197,4112,4225,408,2240,3868,4225,2910,1436,"2323"
439,446,464,923,404,3169,4225,797,780,4225,4225,633,4225,3145,4225,"2324"
2168,1124,1436,1220,4225,4225,4225,3489,4225,1396,4225,3637,2419,1786,2247,"2325"
3663,2490,3216,2619,2979,1842,4225,3749,4225,4225,2381,2314,4225,3341,4225,"2326"
3428,3816,2377,863,3149,2033,272,3854,4225,4225,1579,1839,1594,3173,2754,"2327"
3812,3317,2483,2196,3231,2620,4225,619,273,4225,1067,2697,721,2062,4225,"2328"
1475,4225,1363,1626,4225,4225,4225,1629,4225,4225,4225,3717,4225,3145,2137,"2329"
2139,2594,1888,2549,2804,1737,4225,3213,4225,4225,1665,3476,2952,2542,764,"2330"
3393,1588,2855,1506,1568,2620,1504,1938,4225,1677,1291,3754,2820,2431,2162,"2331"
3946,3546,4109,3460,3231,1842,4225,4014,4225,4225,2564,3912,2666,2985,4225,"2332"
635,4225,1164,542,4225,4225,4225,2833,4225,4225,4225,3003,4225,4225,1873,"2333"
2949,4225,506,892,4225,4225,4225,2620,4225,4225,4225,3637,4225,2910,2348,"2334"
2794,4225,909,1365,4225,4225,4225,2599,4225,4225,4225,1608,4225,1280,3145,"2335"
3910,4225,576,2802,4225,4225,4225,1160,164,4225,4225,26,4225,127,3052,"2336"
1163,3816,1689,2111,2724,1267,404,799,4225,172,2469,3267,2952,3257,1727,"2337"
2041,1077,3819,2884,1120,1572,4225,4126,4225,4225,4225,437,4225,4225,4225,"2338"
2317,1884,3298,3237,3398,2501,552,3461,4225,4225,1426,3480,2301,2750,1114,"2339"
2723,2705,3216,2758,1568,923,1253,2313,4225,1677,1746,3495,1702,2774,2877,"2340"
1435,956,4225,829,1301,2501,4225,1413,4225,4225,1908,2830,1171,1777,268,"2341"
3016,2705,4225,3237,1982,1642,1598,1467,4225,1396,4225,3895,2046,3697,2348,"2342"
2276,2705,2056,3124,1198,1737,4225,2343,4225,4225,4225,2527,4225,1280,4225,"2343"
51,59,2377,145,63,2391,224,3845,4225,124,1219,3231,1702,1827,82,"2344"
2170,2157,1565,1593,1120,1926,1559,1959,4225,1209,1139,1856,1275,2001,2572,"2345"
2527,2075,3724,4052,1162,3169,4225,3486,4225,4225,4225,3053,4225,3663,4225,"2346"
1053,2490,124,270,1699,90,108,1781,4225,4225,631,680,2173,1125,311,"2347"
3730,3546,3724,3296,3310,2033,4225,4058,4225,822,1985,3211,2536,2608,2234,"2348"
487,166,853,527,4225,4225,4225,1662,1094,80,4225,1555,1471,155,508,"2349"
178,166,2018,2498,241,2256,4225,590,945,4225,4225,3454,4225,779,70,"2350"
3295,3430,2056,2000,2560,1407,661,1201,4225,4225,2310,3402,2952,3257,926,"2351"
25,21,1554,534,27,2749,4225,1744,4225,4225,4225,552,4225,259,4225,"2352"
1336,2266,4225,1913,651,1191,661,2538,4225,1548,1828,3549,2173,2450,1286,"2353"
3564,2705,2545,2701,3310,2141,661,2998,4225,4225,2153,3955,2536,2935,2234,"2354"
1278,425,1331,1172,4225,4225,4225,2160,4225,215,4225,1814,2536,3364,2272,"2355"
2318,4225,1026,765,4225,4225,4225,3896,4225,4225,4225,2058,4225,3145,834,"2356"
1224,1454,1462,1655,2638,988,4225,1732,4225,4225,2469,2779,2952,3791,792,"2357"
2454,3430,1655,594,2896,3454,153,2966,564,74,4225,1933,2419,2211,4225,"2358"
1581,3663,1320,1193,4225,3323,131,1363,4225,128,282,2039,1594,3341,577,"2359"
422,180,2056,996,257,3017,4225,2606,4225,4225,4225,1933,4225,606,86,"2360"
2454,2395,3640,2712,2560,3169,4225,3989,4225,4225,999,2830,4225,1689,4225,"2361"
4225,4225,4225,2701,603,820,404,3971,1204,4225,856,130,2536,3501,1310,"2362"
927,709,1470,974,4225,4225,4225,3389,4225,606,4225,1400,874,623,841,"2363"
1420,1979,1843,1032,603,380,1043,4047,4225,937,631,2477,653,2935,1022,"2364"
2302,1454,1509,1879,1070,686,1043,3185,4225,937,1828,494,2666,2774,1961,"2365"
1203,3816,2869,2238,848,774,801,3424,4225,822,1511,1283,2301,3145,1365,"2366"
2759,2594,3724,2450,2201,1842,1182,3784,4225,1099,2469,2452,1372,2824,3224,"2367"
2145,1221,3927,1446,1070,1737,1454,570,4225,1044,2381,3973,2820,2526,2688,"2368"
2217,1221,1233,721,4225,4225,4225,229,4225,1153,4225,2830,2536,3791,3052,"2369"
3254,1884,2332,2238,1908,2620,1288,2740,4225,1447,924,2176,653,3341,2667,"2370"
1788,4225,3514,2549,1070,467,726,3822,4225,4225,440,3117,1171,1816,1523,"2371"
3968,2931,1570,2595,4225,4225,4225,1515,4225,874,4225,931,477,873,2667,"2372"
1540,1124,515,440,4225,4225,4225,1865,1106,995,4225,4159,152,1974,2042,"2373"
4152,3430,3216,1216,2284,2501,458,3539,4225,229,1356,3637,4225,3341,3145,"2374"
1682,4225,1436,866,4225,4225,4225,3721,4225,4225,4225,285,4225,236,4225,"2375"
1870,2705,582,2849,2896,542,4225,1757,4225,4225,2381,1193,1702,1633,1286,"2376"
2225,883,390,944,1514,2033,746,3600,4225,1447,154,177,308,112,2957,"2377"
511,387,770,1013,4225,4225,4225,490,623,263,4225,1684,204,2689,2454,"2378"
777,243,603,721,4225,4225,4225,865,474,128,4225,814,187,172,1365,"2379"
1910,2594,3321,1885,1162,923,1413,2839,4225,1270,1665,3638,4225,3173,2042,"2380"
2815,1337,1823,1193,2804,1481,4225,3008,4225,4225,1985,1460,1275,2910,1014,"2381"
2499,1979,2483,1541,885,774,772,1545,1070,1677,1511,3109,2301,3364,2348,"2382"
3257,1979,3129,2070,3310,2620,498,3768,4225,1548,1219,2684,2419,606,4225,"2383"
2021,1884,3400,1956,3231,2141,4225,1789,4225,4225,1746,3416,1594,1860,1436,"2384"
2770,1271,2887,1924,4225,4225,4225,4198,4225,995,4225,3955,1922,3019,2774,"2385"
2904,1221,1706,1963,1409,1338,1598,1352,4225,1270,2069,3173,2820,1433,2464,"2386"
2572,1979,1665,2724,4225,4225,4225,2602,4225,1611,4225,3582,2666,4225,2572,"2387"
2554,1337,2618,548,1514,1407,525,2675,4225,749,2469,3694,2536,3341,1373,"2388"
3979,3663,3724,3460,2979,3017,4225,1479,4225,749,1291,4016,1471,4225,2137,"2389"
2164,4225,1702,1055,4225,4225,4225,1218,131,4225,4225,2684,4225,2431,1436,"2390"
3819,3663,3298,3369,2638,1572,1367,427,4225,4225,2564,3983,2952,3173,2348,"2391"
3923,2395,3216,3509,3310,1191,1091,327,4225,1340,1985,3161,2536,3697,2871,"2392"
568,999,1360,907,280,362,246,1206,9,640,322,2420,1275,1827,527,"2393"
3945,3546,3927,3076,3398,3323,693,763,4225,749,999,2903,1806,2211,2234,"2394"
2629,2834,3216,1727,1120,923,1367,3998,4225,937,1746,515,2666,1104,2137,"2395"
2370,4225,1778,1880,4225,4225,4225,706,645,4225,4225,2684,4225,978,1727,"2396"
2183,1588,181,970,1908,1267,4225,1656,517,4225,111,1319,57,434,4225,"2397"
