"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
1231,1517,3037,2583,1699,2391,4225,4162,4225,4225,1356,1273,1922,3663,550,"85"
2811,1517,1753,4104,2051,1926,4225,123,4225,4225,4225,694,4225,236,1579,"86"
3216,1675,4017,3124,1514,3323,4225,61,4225,4225,1067,3264,1275,2120,4225,"87"
1373,1454,2502,520,1633,2873,4225,828,4225,577,4225,3340,874,3663,695,"88"
1504,1588,2949,729,774,923,1650,2422,4225,937,1746,3035,2666,2910,2234,"89"
89,194,269,1083,139,728,4225,272,548,4225,537,707,721,888,33,"90"
82,57,1753,2411,80,1842,4225,460,601,4225,4225,315,4225,4225,4225,"91"
963,1588,3129,3369,1908,3323,4225,4199,4225,4225,733,1351,874,978,668,"92"
2240,1271,816,674,1699,1642,579,3755,301,1396,681,4016,2952,978,2234,"93"
143,2594,40,37,155,60,206,1345,415,17,1908,887,308,707,1505,"94"
4225,4225,1363,4213,4225,4225,4225,17,4225,4225,4225,2121,4225,3663,4225,"95"
1719,1337,2855,3548,1764,2620,4225,1534,4225,4225,1139,3802,1058,2689,884,"96"
3084,3546,3514,3076,3231,1191,552,2567,4225,549,2069,3419,2666,2935,2454,"97"
161,4225,3927,2583,559,2501,4225,4061,4225,4225,1579,1273,2536,1433,1892,"98"
2354,1517,630,3237,1356,279,4225,86,1003,4225,4225,75,4225,4225,792,"99"
1865,1812,2018,1106,3149,2256,4225,4146,4225,4225,1219,1891,653,1280,668,"100"
895,3546,3298,1150,559,653,726,3007,4225,606,999,3416,2666,1777,1799,"101"
